,bin,timestamp_index,ind,timestamp,views,views_adjusted,percent_traffic
378,379,757,1.0,20200128,666212,617060,0.0012539362740096
379,380,759,2.0,20200130,319337,311655,0.0006311763882312
380,381,761,3.0,20200201,232145,225471,0.0004549602984058
381,382,763,4.0,20200203,176235,162794,0.0003280049650908
382,383,765,5.0,20200205,141679,134074,0.0002710799264695
383,384,767,6.0,20200207,111242,107784,0.0002176915071034
384,385,769,7.0,20200209,302479,257900,0.0005281041814298
385,386,771,8.0,20200211,166097,155463,0.0003149273174629
386,387,773,9.0,20200213,218301,217003,0.0004330204059485
387,388,775,10.0,20200215,193125,179996,0.0003622474512761
388,389,777,11.0,20200217,254445,231594,0.0004667166499542
389,390,779,12.0,20200219,204307,192146,0.0003890199571691
390,391,781,13.0,20200221,145287,145206,0.0002934476234135
391,392,783,14.0,20200223,113210,104321,0.0002107324740445
392,393,785,15.0,20200225,153770,146506,0.0002958649028788
393,394,787,16.0,20200227,96441,94172,0.0001906490414048
394,395,789,17.0,20200229,81249,77928,0.0001571468347267
395,396,791,18.0,20200302,67817,64498,0.0001303770617976
396,397,793,19.0,20200304,59118,57705,0.0001166369724247
397,398,795,20.0,20200306,59525,60668,0.000122560765885
398,399,797,21.0,20200308,60814,57505,0.0001162103106456
399,400,799,22.0,20200310,121539,119384,0.0002411854812019
400,401,801,23.0,20200312,77338,81911,0.0001658143160184
401,402,803,24.0,20200314,62010,62327,0.0001256072485571
402,403,805,25.0,20200316,51233,53276,0.0001076569104776
403,404,807,26.0,20200318,46181,46999,9.497447875281722e-05
404,405,809,27.0,20200320,48268,46413,9.376152466386824e-05
405,406,811,28.0,20200322,50667,45416,9.172784890532678e-05
406,407,813,29.0,20200324,53445,48666,9.8344136648509e-05
407,408,815,30.0,20200326,52261,46317,9.360661617244594e-05
408,409,817,31.0,20200328,63013,51197,0.0001036380032849
409,410,819,32.0,20200330,120106,100391,0.0002032032967977
410,411,821,33.0,20200401,55898,46289,9.345581326958056e-05
411,412,823,34.0,20200403,52567,41742,8.428521901336265e-05
412,413,825,35.0,20200405,52193,40211,8.130663654777103e-05
413,414,827,36.0,20200407,49973,40859,8.256223003145779e-05
414,415,829,37.0,20200409,52473,40284,8.146743655984402e-05
415,416,831,38.0,20200411,90075,68705,0.0001385851117513
416,417,833,39.0,20200413,62924,49076,9.942698131017826e-05
417,418,835,40.0,20200415,48669,40707,8.226897359243029e-05
418,419,837,41.0,20200417,59487,47785,9.695274287445623e-05
419,420,839,42.0,20200419,178267,136937,0.0002791880943911
420,421,841,43.0,20200421,61189,49864,0.0001008016909762
421,422,843,44.0,20200423,57548,47849,9.674076304534052e-05
422,423,845,45.0,20200425,50038,38983,7.866007734855205e-05
423,424,847,46.0,20200427,48222,37830,7.6468027473217e-05
424,425,849,47.0,20200429,50622,42112,8.495422453853654e-05
425,426,851,48.0,20200501,46332,40480,8.180325115026287e-05
426,427,853,49.0,20200503,50028,42551,8.593097986527109e-05
427,428,855,50.0,20200505,45897,40808,8.248962127813751e-05
428,429,857,51.0,20200507,43163,39493,7.979983126651715e-05
429,430,859,52.0,20200509,41643,36433,7.3579296608322e-05
430,431,861,53.0,20200511,47513,42599,8.600031509134028e-05
431,432,863,54.0,20200513,41250,38012,7.682451390117603e-05
432,433,865,55.0,20200515,39331,36932,7.463001351560152e-05
433,434,867,56.0,20200517,38031,33663,6.801621051049881e-05
434,435,869,57.0,20200519,41941,39962,8.07541103439752e-05
435,436,871,58.0,20200521,41693,40834,8.252414604199535e-05
436,437,873,59.0,20200523,41281,38952,7.86991288133599e-05
437,438,875,60.0,20200525,41805,39258,7.927126097599778e-05
438,439,877,61.0,20200527,72584,72189,0.0001458008248605
439,440,879,62.0,20200529,52865,53691,0.000108517176206
440,441,881,63.0,20200531,64014,61864,0.0001255264523702
441,442,883,64.0,20200602,43049,43992,8.889114098776313e-05
442,443,885,65.0,20200604,48975,49545,0.0001000580410187
443,444,887,66.0,20200606,58093,56510,0.000113491275857
444,445,889,67.0,20200608,40688,39897,8.064723992630783e-05
