,id,name,link,year_of_birth,year_of_death,timestamp_of_death,date_of_death,description,pageid,extract_html,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,median_views_adjusted_bd_1,median_views_adjusted_ad_1,mean_views_adjusted_bd_1,death_views_1,death_views_adjusted_1,std_1,iqr_1,median_views_adjusted_bd_2,median_views_adjusted_ad_2,mean_views_adjusted_bd_2,death_views_2,death_views_adjusted_2,std_2,iqr_2,median_views_adjusted_bd_3,median_views_adjusted_ad_3,mean_views_adjusted_bd_3,death_views_3,death_views_adjusted_3,std_3,iqr_3,median_views_adjusted_bd_7,median_views_adjusted_ad_7,mean_views_adjusted_bd_7,death_views_7,death_views_adjusted_7,std_7,iqr_7,industry,cause,cause_specific,perspective_show,impact_annotation,impact_x,impact_type
10,Aretha_Franklin,Aretha Franklin,https://en.wikipedia.org/wiki/Aretha_Franklin,1942,2018,20180816,16-Aug,"American singer, songwriter, and pianist (1942-2018)",147367,"<p><b>Aretha Louise Franklin</b> was an American singer, songwriter and pianist. Referred to as the ""Queen of Soul"", she has twice been placed ninth in <i>Rolling Stone</i><span class=""nowrap"">'</span>s ""100 Greatest Artists of All Time"". With global sales of over 75 million records, Franklin is one of the world's best-selling music artists.</p>",Aretha_Franklin,"<span class=""mw-page-title-main"">Aretha Franklin</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aretha_Franklin_1968.jpg/320px-Aretha_Franklin_1968.jpg,320,377,3168,5494,8526.612335,2040086,2051124,45969.66021,1077.5,6357,11224,17092.71681,3403625,3467310,85710.31252,2043,9552,16983,25717.77333,3842095,3934141,134759.2756,2814,21800,40016,60160.09375,4420788,4504684,205910.6274,8188.5,Music,Illness,PNETs,
11,Atal_Bihari_Vajpayee,Atal Bihari Vajpayee,https://en.wikipedia.org/wiki/Atal_Bihari_Vajpayee,1924,2018,20180816,16-Aug,10th Prime Minister of India in 1996 and from 1998-2004,101730,"<p><b>Atal Bihari Vajpayee</b> was an Indian politician and statesman who served three terms as the 10th Prime Minister of India, first for a term of 13 days in 1996, then for a period of 13 months from 1998 to 1999, followed by a full term from 1999 to 2004. Vajpayee was one of the co-founders and a senior leader of the Bharatiya Janata Party (BJP). He was a member of the Rashtriya Swayamsevak Sangh, a Hindu nationalist volunteer organisation. He was the first Indian prime minister not of the Indian National Congress to serve a full term in office. He was also a renowned poet and a writer.</p>",Atal_Bihari_Vajpayee,"<span class=""mw-page-title-main"">Atal Bihari Vajpayee</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Atal_Bihari_Vajpayee_%28crop_2%29.jpg/320px-Atal_Bihari_Vajpayee_%28crop_2%29.jpg,320,400,2856,2919,5323.894273,1908766,1919094,9629.177454,2361.5,5788,5879,10674.90265,3018230,3071395,17998.89048,5543,8711,8818.5,16051.62667,3280978,3351138,24527.17183,7377.5,20139,20862,37535.96875,3623198,3688038,39929.94411,21634.25,Politics,Stroke,Stroke,
12,Kofi_Annan,Kofi Annan,https://en.wikipedia.org/wiki/Kofi_Annan,1938,2018,20180818,18-Aug,UN secretary-general from 1997 to 2006,16844,"<p><b>Kofi Atta Annan</b> was a Ghanaian diplomat who served as the seventh secretary-general of the United Nations from 1997 to 2006. Annan and the UN were the co-recipients of the 2001 Nobel Peace Prize. He was the founder and chairman of the Kofi Annan Foundation, as well as chairman of The Elders, an international organisation founded by Nelson Mandela.</p>",Kofi_Annan,"<span class=""mw-page-title-main"">Kofi Annan</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Kofi_Annan_2012_%28cropped%29.jpg/320px-Kofi_Annan_2012_%28cropped%29.jpg,320,401,1134,1257,1187.100437,465688,495810,275.5560462,213,2285.5,2524.5,2373.131579,657532,684912,493.6975089,408.75,3409,3816,3559.697368,774010,796719,648.935087,613.25,8083,8918,8316.75,918369,944227,1377.260652,954.5,Politics,Illness,Short illness,
13,John_McCain,John McCain,https://en.wikipedia.org/wiki/John_McCain,1936,2018,20180825,25-Aug,American politician and military officer (1936-2018),43715,"<p><b>John Sidney McCain III</b> was an American politician and United States Navy officer who served as a United States senator from Arizona from 1987 until his death in 2018. He previously served two terms in the United States House of Representatives and was the Republican nominee for president of the United States in the 2008 election, which he lost to Barack Obama.</p>",John_McCain,"<span class=""mw-page-title-main"">John McCain</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/John_McCain_official_portrait_2009.jpg/320px-John_McCain_official_portrait_2009.jpg,320,405,5063.5,4281.5,8656.194915,157243,168951,16215.1535,2868,10235,8678.5,17312.38983,2704743,2663584,25893.36247,5854.25,15055.5,13107,26088.47436,3583464,3499576,34478.85588,9355.5,38320,31256.5,61304.57576,5348538,5272392,67884.05131,19779,Politics,Cancer,Glioblastoma,
14,Burt_Reynolds,Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds,1936,2018,20180906,6-Sep,American actor (1936-2018),178246,"<p><b>Burton Leon Reynolds Jr.</b> was an American actor, considered a sex symbol and icon of 1970s American popular culture.</p>",Burt_Reynolds,"<span class=""mw-page-title-main"">Burt Reynolds</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Burt_Reynolds_1991_portrait_crop.jpg/320px-Burt_Reynolds_1991_portrait_crop.jpg,320,470,6146,6658,7367.072581,1921874,1901602,5157.918005,2521.25,12948,13472.5,14734.14516,3599005,3598792,8090.929174,5029.5,19457.5,20388,22024.62195,4062872,4075683,10596.16239,6139,44087,48769.5,51460.8,4529976,4529444,23594.94928,10956.5,Film/TV,Heart failure,Heart attack,
15,Mac_Miller,Mac Miller,https://en.wikipedia.org/wiki/Mac_Miller,1992,2018,20180907,7-Sep,American rapper and record producer (1992-2018),34364931,"<p><b>Malcolm James McCormick</b>, known professionally as <b>Mac Miller</b>, was an American rapper and record producer. Miller began his career in Pittsburgh's hip hop scene in 2007, at the age of fifteen. In 2010, he signed a record deal with independent label Rostrum Records and released his breakthrough mixtapes <i>K.I.D.S.</i> (2010) and <i>Best Day Ever</i> (2011). Miller's debut studio album, <i>Blue Slide Park</i> (2011), became the first independently distributed debut album to top the US <span><i>Billboard</i> 200</span> since 1995.</p>",Mac_Miller,"<span class=""mw-page-title-main"">Mac Miller</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Mac_Miller_%287%29_%E2%80%93_splash%21_Festival_20_%282017%29_%28cropped%29.jpg/320px-Mac_Miller_%287%29_%E2%80%93_splash%21_Festival_20_%282017%29_%28cropped%29.jpg,320,451,3039,7897,4127.759036,1924395,1947411,2883.511398,2530,6026,15860.5,8268.258065,3833205,3909815,5218.1698,5007,9282,23919,12383.27711,4411305,4471395,7599.817925,8075.5,23180,56635,29084.45714,5171533,5211913,14569.39092,21776.5,Music,Drug overdose,Drug overdose,
16,Paul_Allen,Paul Allen,https://en.wikipedia.org/wiki/Paul_Allen,1953,2018,20181015,15-Oct,American business magnate (1953-2018),23347,"<p><b>Paul Gardner Allen</b> was an American business magnate, computer programmer, researcher, investor, and philanthropist. He co-founded Microsoft Corporation with childhood friend Bill Gates in 1975, which helped spark the microcomputer revolution of the 1970s and 1980s. Microsoft became the world's largest personal computer software company. Allen was ranked as the 44th-wealthiest person in the world by <i>Forbes</i> in 2018, with an estimated net worth of $20.3 billion at the time of his death.</p>",Paul_Allen,"<span class=""mw-page-title-main"">Paul Allen</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Paul_G._Allen_%28cropped%29.jpg/320px-Paul_G._Allen_%28cropped%29.jpg,320,400,2248,2720,2647.675958,279572,264819,1735.08675,673.5,4520,5492,5297.461538,871530,836055,2889.639375,1305,6731,8302,7948.684211,999548,961738,3779.517208,2132,16028,19748,18533.73171,1163515,1129574,8113.014455,4000,Business,Illness,Septic shock,
17,Vichai_Srivaddhanaprabha,Vichai Srivaddhanaprabha,https://en.wikipedia.org/wiki/Vichai_Srivaddhanaprabha,1958,2018,20181027,27-Oct,Thai businessman (1958-2018),29116344,"<p><b>Vichai Srivaddhanaprabha</b> was a Thai billionaire businessman and the founder, owner and chairman of King Power. He was the owner of Premier League team Leicester City from 2010 until his death in a helicopter crash at the club's King Power Stadium in 2018.</p>",Vichai_Srivaddhanaprabha,"<span class=""mw-page-title-main"">Vichai Srivaddhanaprabha</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Vichai_Raksriaksorn.jpg/320px-Vichai_Raksriaksorn.jpg,320,480,243,444,275.7123746,177953,193336,151.6795375,106,490,916,551.0604027,1020519,1036503,256.9722413,223,747,1399.5,826.6262626,1424464,1417053,349.5870621,322.5,1759.5,3400,1931.285714,1637581,1631278,586.9150554,788.5,Business,Accident,Helicopter crash,
18,Stan_Lee,Stan Lee,https://en.wikipedia.org/wiki/Stan_Lee,1922,2018,20181112,12-Nov,"American comic book writer, editor, publisher, and producer (1922-2018)",18598186,"<p><b>Stan Lee</b> was an American comic book writer, editor, publisher, and producer. He rose through the ranks of a family-run business called Timely Comics which would later become Marvel Comics. He was the primary creative leader for two decades, leading its expansion from a small division of a publishing house to a multimedia corporation that dominated the comics and film industries.</p>",Stan_Lee,"<span class=""mw-page-title-main"">Stan Lee</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Stan_Lee_by_Gage_Skidmore_3.jpg/320px-Stan_Lee_by_Gage_Skidmore_3.jpg,320,419,10229,7519,12648.27619,2404717,2173213,7197.906789,6230.5,20257,15134,25289.41401,4615276,4242819,13746.7877,12519,31259,22788,37944.82857,5222012,4835536,19863.3077,19196,71790,52988,88537.93333,5945933,5558447,42566.65234,44553,Comedy,Heart failure,Respiratory and Congestive Heart Failure,
19,Stephen_Hillenburg,Stephen Hillenburg,https://en.wikipedia.org/wiki/Stephen_Hillenburg,1961,2018,20181126,26-Nov,Creator of SpongeBob SquarePants (1961-2018),1246649,"<p><b>Stephen McDannell Hillenburg</b> was an American animator, writer, producer, director, and marine science educator. He is known for creating the Nickelodeon animated television series <i>SpongeBob SquarePants</i>, on which he served as the showrunner for the first three seasons of the show, and which has become the fifth-longest-running American animated series.</p>",Stephen_Hillenburg,"<span class=""mw-page-title-main"">Stephen Hillenburg</span>",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Stephen_Hillenburg_by_Carlos_Cazurro.jpg/320px-Stephen_Hillenburg_by_Carlos_Cazurro.jpg,320,389,779,1915,991.8024316,983,924,2099.694014,174,1557.5,3827.5,1984.743902,445473,427589,3128.364301,365.5,2354,5785,2979.376147,1067531,1030084,4959.052388,505,5540,13665,6942.617021,1373251,1336871,7491.524993,766.5,Other,Brain failure,ALS,
